Amaru SUPERNOVA
NOKK FMG-9
NOKK SIX12-SD
Gridlock F90
Gridlock M249 SAW
Nomad AK-74M
Nomad ARX200
Maverick Ar-15.50
Maverick M4-GS
Lion V308
Lion 417
Lion SG-CQB
Finka SPEAR.308
Finka 6P41
Finka SASG-12
Dokkaebi MK-14-EBR
Dokkaebi BOSG.12.2
Zofia LMG-E
Zofia M762
Ying T-95-LSW
Ying SIX12
Jackal C7E
Jackal PDW9
Jackal ITA12L
Hibana Type-89
Hibana SUPERNOVE
Capitao PARA-308
Capitao M249
Blackbeard MK17-CQB
Blackbeard SR-24
Buck C8-SFW
Buck CAMRS
Sledge L85A2
Sledge M590A1
Thatcher AR33
Thatcher L85A2
Thatcher M590A1
Ash G36C
Ash R4-C
Thermite M1014
Thermite 556XI
Montagne P9
Montagne LFP586
Twitch F2
Twitch 417
Twitch SG-CQB
Blitz P12
Blitz P12
IQ AUG-A2
IQ 552-Commando
IQ G8A1
Fuze Schild
Fuze 6P41
Fuze Ak-12
Glaz OTS-03
